,0
118.81,131.77450704225333
103.7,101.86
104.56,102.25
98.9,110.53
104.51,105.65
100.68,102.25
88.26,98.95
98.14,89.95
89.37,94.74
90.36,91.21000000000002
75.88,82.21
91.85,92.58
75.86,83.42
111.03,111.65
99.87,92.22
88.55,95.64
90.78,92.4
115.39,128.78
114.61,107.13
105.46,113.99
84.76,90.57
105.36,117.3
88.78,96.21
88.23,99.54
96.87,98.94
77.11,78.88
103.03,91.21
87.46,97.94
102.32,106.02
93.4,93.035
113.24,126.41
111.16,108.75
88.92,90.57
101.47,97.78
102.56,102.25
124.75,125.84
92.98,91.21
99.64,105.89
114.16,102.25
95.1,91.21
107.24,120.94
104.42,109.11
107.86,117.3
102.65,94.74
92.97,101.13
139.08,128.02
113.11,117.29
101.46,110.54
108.34,136.08877985797818
92.47,98.95
106.32,103.7
76.22,87.31
90.33,94.05
88.85,95.74
105.89,125.75
109.28,122.47
87.38,98.95
87.74,92.4
88.01,96.19
90.83,90.57
94.17,96.21
123.68,114.26
105.34,105.15
106.56,114.07
77.64,82.44
131.69,102.275
108.64,92.97
95.89,106.41
98.32,107.13
108.12,111.09
103.53,91.91
91.89,95.15
109.66,117.52
101.23,105.15
100.03,108.69
75.05,82.44
99.98,93.75
84.56,91.21
130.6,95.81
114.8,118.44
106.16,114.88
88.19,93.75
103.63,91.52
104.26,110.53
91.6,97.94
97.81,93.96
90.78,94.85
112.66,116.94666666666667
116.08,122.24
89.51,96.23
92.03,92.40000000000002
100.4,120.72999999999998
105.67,115.22
139.2,120.73
92.19,91.21
93.6,93.75
127.19,118.27
93.71,95.98
78.71,90.1
87.84,97.21
114.76,96.23
91.22,93.75
87.15,92.95
112.78,118.41
108.74,114.51
110.71,106.59
111.85,109.11
75.71,84.72
99.46,110.53
102.65,96.23
102.91,110.17
148.94,132.6609677419354
135.53,128.87
106.53,114.51
90.11,97.89
100.28,91.21
89.54,96.23
108.33,128.93
114.66,95.04
92.56,95.74
91.93,97.21
95.23,103.7
99.06,92.4
97.03,103.58
93.2,95.04
90.13,103.7
75.9,84.72
86.38,95.04
97.63,110.53
91.79,102.25
75.41,84.86
132.86,110.54
100.86,102.25
111.01,114.65
98.37,95.04
86.66,90.57
103.07,104.45
87.28,96.21
106.96,112.07
107.12,115.75
91.92,91.21
112.34,110.53
86.31,91.21
93.0,95.04
107.73,110.58
88.59,92.91
89.67,92.95
87.24,95.04
89.9,96.23
98.02,105.65
91.62,99.54
121.41,91.21
115.25,97.26
87.53,93.035
110.11,113.12
108.99,117.85
85.82,92.91
91.32,91.21
93.34,91.22
99.66,106.39
92.73,95.03999999999998
88.53,94.27
96.53,105.31
101.06,108.2
107.4,132.65
106.5,110.17
114.43,108.69
104.2,105.55
131.98,132.7905405405405
101.29,97.94
90.2,93.75
86.61,95.04
102.77,136.05182519280743
118.17,110.53
86.93,91.21
91.16,100.07
102.76,104.19
110.87,108.2
111.56,110.53
90.88,99.98
88.31,90.57
90.76,98.94
93.26,96.12
100.22,102.71
105.65,109.49666666666667
104.18,100.71
111.5,94.21
90.49,98.95
104.55,114.25
125.91,132.9926415094338
91.68,97.94
111.9,114.51
90.32,95.81
107.9,96.23
84.9,93.75
128.8,128.78
95.71,92.95
107.99,102.66
89.46,91.21
100.93,100.71
108.06,128.14
90.98,91.21
113.4,109.47
89.22,99.08
107.34,117.3
94.92,95.04
100.59,105.15
112.54,130.81
108.28,128.87
113.31,110.53
91.88,95.03999999999999
91.11,98.95
101.45,98.36
117.89,111.08
108.19,110.17
96.17,97.94
106.38,118.44
100.46,104.77
90.18,93.43
115.27,114.88
111.17,109.49666666666667
90.87,92.4
99.93,105.15
88.86,91.21
99.74,116.46
109.94,114.8
87.99,95.04
112.44,118.44
93.62,95.04
115.72,117.3
102.91,123.74599999999998
102.46,128.37
92.58,97.79
97.09,116.79
72.11,87.21
106.37,107.13
85.63,97.46
105.29,118.62
99.48,105.15
73.53,86.95
89.59,94.74
93.47,95.04
90.69,93.93
90.84,90.57
75.39,91.43
86.19,85.48
97.96,104.19
88.93,90.59
113.94,121.19
87.63,91.26
87.17,92.49
113.83,113.86
100.0,95.04
109.99,114.51
111.44,105.97
97.51,105.97
86.8,92.4
88.98,94.85
89.06,91.35
110.07,135.7042182985606
99.0,124.64
92.12,96.23
106.74,117.3
89.9,97.46
90.41,95.755
97.07,109.76
114.39,128.14
135.14,109.81
112.9,133.36
91.99,96.81
90.68,92.95
95.6,98.52
132.7,118.73
92.59,98.95
89.65,91.21
101.25,120.8
109.64,107.54
113.34,128.76
95.47,91.43
105.71,115.14
101.65,115.53
110.01,125.84
89.99,92.91
78.45,85.48
87.81,93.75
113.09,112.04
102.97,95.755
107.05,110.54
99.22,92.4
106.44,107.67
111.85,110.53
113.39,119.7
108.42,117.3
119.03,107.13
108.0,105.65
117.07,113.15
87.98,97.26
110.2,135.94954240000533
94.84,98.36
90.38,99.67
91.07,91.35
97.97,111.64
112.8,118.24
97.42,114.8
103.31,105.15
92.97,107.13
113.98,105.25
92.34,96.21
88.08,93.035
113.7,125.84
99.52,101.66
119.87,118.61
94.02,94.74
97.12,93.75
91.57,98.95
113.95,112.54
110.44,134.08
115.6,110.53
108.37,128.87
118.18,110.17
114.26,122.65
88.14,92.91
111.17,108.93
116.0,131.50142857142856
88.64,92.4
96.03,91.07
85.91,92.4
88.36,93.43
86.96,99.08
92.31,93.45
108.37,131.3958333333332
89.44,99.83999999999999
91.07,90.10000000000001
113.08,133.4599999999999
100.77,104.92
98.45,115.94
88.53,91.63
88.23,95.04
91.31,91.21
103.54,99.54
101.98,102.25
128.58,110.57
136.47,128.76
90.71,90.1
103.62,117.3
109.0,117.3
106.95,125.25399999999999
112.41,118.44
105.96,135.89243503369158
90.86,91.21
107.35,119.35
106.47,107.13
103.9,92.4
106.31,119.71
107.39,110.54
112.47,130.70777777777778
103.01,125.84
88.45,92.91
89.31,92.91
110.86,112.51
108.46,118.44
86.51,98.94
105.94,135.8826974951884
95.71,91.21
88.38,96.23
98.1,105.29
96.6,94.85
90.7,93.75
96.51,91.21
109.63,132.65
101.64,134.21
90.16,91.52
107.62,107.36
88.03,93.77
97.28,93.83
93.55,93.02
104.62,116.79
87.68,93.75
91.32,95.04
98.33,103.7
142.71,117.24
111.02,118.61
94.62,96.23
88.69,93.75
106.18,91.21
106.4,117.29
108.99,117.3
109.03,128.1
99.48,106.39
109.99,115.22
89.19,85.09
117.31,122.1009090909091
102.3,110.94
87.8,90.57
107.38,135.9870208000054
89.51,91.43
89.73,98.57400000000003
117.26,120.17
90.71,92.81
101.14,107.13
92.11,95.64
88.42,99.08
103.71,93.43
100.21,101.26
96.26,108.69
99.02,96.23
94.6,94.85
76.64,85.14
90.79,90.86
89.38,96.23
124.31,107.86
122.36,99.8
75.86,91.07
115.44,126.33114285714286
94.5,94.95
106.87,114.22
109.04,111.05
92.64,95.04
99.28,106.0
93.04,90.57
100.97,97.94
89.81,91.26
107.72,117.3
88.73,90.99
95.03,93.75
87.95,88.63
89.06,98.94
126.17,105.25
108.76,114.51
108.75,109.11
90.96,95.64
113.62,125.20333333333332
88.61,99.8
111.34,112.49
106.34,112.88
98.7,108.02
109.28,92.4
119.57,93.72
108.08,117.29
90.38,91.07
93.67,91.07
97.07,105.25
89.8,107.45
87.99,101.26
90.35,95.04
87.66,108.19
91.03,100.07
84.42,91.37
94.12,103.7
121.91,105.25
116.16,91.21
113.67,97.94
108.39,133.36
109.98,106.39
93.81,91.07
89.6,98.95
98.04,92.95
92.2,93.75
100.53,128.94
110.81,114.46
123.17,117.85
103.91,92.4
111.31,131.20818181818183
113.77,110.43
91.61,110.54
114.8,94.16
99.65,136.08081867605281
109.21,110.53
133.86,136.0238073836329
113.64,96.23
108.69,128.37
111.5,114.88
108.83,128.14
86.9,96.51
90.46,92.95
96.45,97.94
119.02,118.06
101.11,135.59142215088815
111.15,108.69
102.6,94.05
91.32,96.45
116.36,135.9298105939058
99.38,106.02
119.51,107.48
139.16,119.35
110.32,101.76
116.59,110.17
109.09,107.13
129.19,128.37
111.48,110.17
87.61,97.46
109.69,120.94
107.35,128.05
114.4,110.17
113.31,108.06
104.85,104.93
98.57,132.6
93.0,97.58
94.47,96.21
108.23,117.3
114.55,135.67620025674466
90.59,94.65
99.13,108.69
107.74,128.76
77.31,82.21
105.87,110.54
108.85,114.88
100.52,93.71
103.32,110.43
113.87,95.42
90.1,94.6
112.97,135.98506288294624
123.86,132.29
110.03,117.06
90.41,95.04
108.52,133.4599999999999
101.12,125.84
87.51,97.68
99.24,105.3
106.81,119.99
98.42,110.54
84.15,79.22
88.9,91.07
88.47,93.02
116.87,117.3
102.04,96.81
107.03,135.98653414556475
111.31,129.1512987012986
92.01,93.2
101.97,106.4
91.57,94.85
96.62,103.82
112.76,105.97
93.08,97.94
85.99,92.22
110.49,130.81
88.38,91.21
99.14,107.7
87.49,99.8
117.36,110.54
118.77,108.21
97.55,98.15
95.99,94.6
103.41,99.26
104.08,118.44
108.32,128.76
99.03,90.1
139.07,95.42
111.41,112.39
99.78,108.47
106.6,91.21
100.89,128.76
107.99,132.38272727272724
110.9,96.23
107.68,117.3
97.76,101.13
92.07,97.94
107.14,123.11
103.08,108.69
101.62,110.58
88.93,103.7
136.56,118.38
111.91,118.85
107.9,120.94
90.26,91.21
91.13,93.75
107.9,117.3
105.43,110.53
87.9,90.22
91.08,99.54
115.95,96.23
104.53,118.24
96.83,109.39
109.63,135.9870208000054
112.62,95.04
92.83,103.7
91.04,93.43
93.93,93.02
128.8,112.12
91.3,93.91
93.05,95.04
99.49,98.52
110.47,133.36
108.54,117.06
90.39,90.57
108.73,96.23
105.53,92.4
107.46,110.54
126.99,128.78
89.42,94.85
90.13,95.64
91.96,92.27
101.52,107.13
95.86,98.95
85.61,99.8
96.92,108.59
117.48,118.61
106.13,128.14
106.77,96.21
89.89,92.22
99.86,108.69
96.49,104.45
97.2,105.25
96.48,92.4
92.82,95.64
110.64,114.94
122.12,118.54
108.57,108.57
112.08,110.53
90.97,90.57
89.5,94.1
85.89,91.21
109.18,119.44
95.67,99.91
138.19,132.6609677419354
88.4,91.21
93.33,94.32
81.18,85.09
109.19,118.44
95.66,97.21
92.81,101.26
113.95,114.88
89.06,95.42
111.54,110.17
111.1,129.32
89.06,98.95
106.31,125.13799999999996
87.06,95.04
104.25,113.69
89.11,96.23
90.05,92.22
101.2,95.77
106.05,135.9110112359604
89.86,95.59
114.89,108.52
121.18,92.22
87.49,92.91
88.38,96.23
98.96,106.79
104.18,132.67984251968466
125.06,91.21
103.14,106.39
122.45,116.3
107.85,117.3
113.5,95.74
96.44,110.54
92.65,96.23
88.46,92.6
93.12,95.04
115.1,128.14
87.35,98.95
92.46,93.75
98.25,93.75
88.54,90.57
113.74,103.7
90.41,95.56
141.39,94.85
117.49,105.25
101.82,97.94
86.4,95.64
84.12,95.64
125.38,120.78
101.74,134.98430769230845
84.2,82.79
111.33,128.78
114.33,128.14
88.98,91.21
101.32,106.55
89.38,92.91
126.52,108.64
113.86,93.43
90.04,95.04
104.69,110.54
115.32,94.29
100.63,105.65
89.77,94.74
93.86,120.72999999999998
98.61,110.54
93.98,103.7
101.33,103.82
